iter	MultiClass
0	1.364981932
1	1.108711582
2	0.9281880994
3	0.7914203899
4	0.6832871614
5	0.5953500498
6	0.5223917492
7	0.4609511077
8	0.4086103431
9	0.3636123817
10	0.3246397364
11	0.2906791801
12	0.2609350108
13	0.2347713059
14	0.2116722293
15	0.1912139964
16	0.1730446004
17	0.1568688506
18	0.1424371269
19	0.1295367931
20	0.1179855444
21	0.1076261868
22	0.09832249279
23	0.08995587489
24	0.08242269131
25	0.07563204287
26	0.06950395729
27	0.0639678813
28	0.05896141955
29	0.05442927279
30	0.05032233858
31	0.04659694502
32	0.0432141944
33	0.04013939803
34	0.03734158737
35	0.03479308912
36	0.0324691545
37	0.03034763445
38	0.02840869422
39	0.02663456159
40	0.02500930437
41	0.02351863311
42	0.0221497259
43	0.02089107259
44	0.01973233588
45	0.01866422758
46	0.01767839805
47	0.01676733758
48	0.01592428816
49	0.01514316479
